source_url,destination_path,status_code,category,topic_or_cohort,clicks,impressions,position,backlinks,priority,confidence,manual_review
https://www.celebios.com/ortopedia-rivera-jimenez,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/gonzalez-larranaga-2016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-ontiveros-evangelista,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/egresadosortopedia2021,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/ortega-castelazo-12016,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-villalobos-jimenez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/adrianaperealugo,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.com/felidos-cinta-magallon,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/felidos-diaz-perez,/cursos,301,curso_historico,felidos,,,,,media,alta,false
https://www.celebios.com/ortopedia-rodriguez-alarcon,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/ortopedia-sotelo-wong,/cursos/ortopedia-aves,301,curso_historico,ortopedia-aves,,,,,media,alta,false
https://www.celebios.com/inscripcion-nutricion,/cursos/nutricion-fauna-cautiverio,301,curso_historico,nutricion,,,,,media,alta,false
